IDX_YMD,IDX_AMT
2015-01-02,771
2015-01-05,761
2015-01-06,758
2015-01-07,744
2015-01-08,724
2015-01-09,709
2015-01-12,723
2015-01-13,762
2015-01-14,757
2015-01-15,749
2015-01-16,741
2015-01-19,739
2015-01-20,753
2015-01-21,770
2015-01-22,751
2015-01-23,720
2015-01-26,703
2015-01-27,688
2015-01-28,666
2015-01-29,632
2015-01-30,608
2015-02-02,590
2015-02-03,577
2015-02-04,569
2015-02-05,564
2015-02-06,559
2015-02-09,554
2015-02-10,556
2015-02-11,553
2015-02-12,540
2015-02-13,530
2015-02-16,522
2015-02-17,516
2015-02-18,509
2015-02-19,511
2015-02-20,513
2015-02-23,512
2015-02-24,516
2015-02-25,524
2015-02-26,533
2015-02-27,540
2015-03-02,548
2015-03-03,553
2015-03-04,559
2015-03-05,561
2015-03-06,565
2015-03-09,568
2015-03-10,568
2015-03-11,565
2015-03-12,560
2015-03-13,562
2015-03-16,564
2015-03-17,568
2015-03-18,571
2015-03-19,584
2015-03-20,591
2015-03-23,594
2015-03-24,597
2015-03-25,598
2015-03-26,598
2015-03-27,596
2015-03-30,599
2015-03-31,602
2015-04-01,596
2015-04-02,588
2015-04-07,583
2015-04-08,580
2015-04-09,580
2015-04-10,580
2015-04-13,578
2015-04-14,581
2015-04-15,586
2015-04-16,593
2015-04-17,597
2015-04-20,598
2015-04-21,601
2015-04-22,600
2015-04-23,599
2015-04-24,600
2015-04-27,600
2015-04-28,601
2015-04-29,595
2015-04-30,591
2015-05-01,587
2015-05-05,580
2015-05-06,575
2015-05-07,573
2015-05-08,574
2015-05-11,578
2015-05-12,589
2015-05-13,634
2015-05-14,637
2015-05-15,634
2015-05-18,630
2015-05-19,620
2015-05-20,606
2015-05-21,592
2015-05-22,586
2015-05-26,584
2015-05-27,587
2015-05-28,588
2015-05-29,589
2015-06-01,589
2015-06-02,591
2015-06-03,598
2015-06-04,603
2015-06-05,610
2015-06-08,610
2015-06-09,612
2015-06-10,618
2015-06-11,629
2015-06-12,642
2015-06-15,656
2015-06-16,681
2015-06-17,725
2015-06-18,773
2015-06-19,779
2015-06-22,779
2015-06-23,790
2015-06-24,829
2015-06-25,829
2015-06-26,823
2015-06-29,813
2015-06-30,800
2015-07-01,794
2015-07-02,794
2015-07-03,805
2015-07-06,815
2015-07-07,830
2015-07-08,840
2015-07-09,853
2015-07-10,874
2015-07-13,900
2015-07-14,915
2015-07-15,951
2015-07-16,1009
2015-07-17,1048
2015-07-20,1067
2015-07-21,1113
2015-07-22,1118
2015-07-23,1102
2015-07-24,1086
2015-07-27,1090
2015-07-28,1094
2015-07-29,1104
2015-07-30,1100
2015-07-31,1131
2015-08-03,1151
2015-08-04,1200
2015-08-05,1222
2015-08-06,1201
2015-08-07,1200
2015-08-10,1197
2015-08-11,1162
2015-08-12,1093
2015-08-13,1046
2015-08-14,1055
2015-08-17,1063
2015-08-18,1046
2015-08-19,1031
2015-08-20,1014
2015-08-21,994
2015-08-24,968
2015-08-25,942
2015-08-26,918
2015-08-27,905
2015-08-28,903
2015-09-01,911
2015-09-02,906
2015-09-03,891
2015-09-04,875
2015-09-07,876
2015-09-08,873
2015-09-09,855
2015-09-10,830
2015-09-11,818
2015-09-14,805
2015-09-15,802
2015-09-16,814
2015-09-17,883
2015-09-18,960
2015-09-21,978
