NO,YEAR_MONTH,CB_TYPE,VSL_TYPE,TC_TYPE,CB_TEAM_CODE,CB_INDEX,DUR,BNK_PRC,DAY_CB,DAY_HIRE,TC_INDEX,PL
1,201501,TR,Cape,OWNED,063,627,129.004,462.6,10061,0,0,10061
2,201501,TR,Cape,OWNED,064,627,562.834,511.25,27394,0,0,27394
3,201501,TR,Handy,OWNED,039,416,24.879,349.01,7539,0,0,7539
4,201501,TR,Handy,OWNED,165,416,62,583.1,28880,0,0,28880
5,201501,TR,Handy,OWNED,231,416,23.521,511.63,5012,0,0,5012
6,201501,TR,Handy,OWNED,282,416,6.121,0,8500,0,0,8500
7,201501,TR,P'max,OWNED,254,722,62.002,578.59,5469,0,0,5469
8,201501,TR,P'max,OWNED,255,722,86.629,497.7,9913,0,0,9913
9,201501,LN,S'max,OWNED,037,727,19.667,595.12,5235,0,0,5235
10,201501,TR,S'max,OWNED,037,727,11.333,0,13200,0,0,13200
11,201501,TR,S'max,OWNED,170,727,155.001,424.86,21340,0,0,21340
12,201501,TR,S'max,OWNED,233,727,30.999,0,15388,0,0,15388
13,201501,TR,S'max,OWNED,267,727,192.54,465.01,7421,0,0,7421
14,201501,LN,S'max,OWNED,282,727,31.001,448.76,6484,0,0,6484
15,201501,LN,Handy,TC,165,416,31.001,417.61,12886,12187,0,699
16,201501,LN,Handy,TC,231,416,40.14,0,7034,11204,0,-4170
17,201501,TR,Handy,TC,283,416,34.334,-504.15,10970,8169,0,2801
18,201501,TR,P'max,TC,231,722,517.464,427.37,12809,9061,0,3748
19,201501,TR,P'max,TC,254,722,193.729,403.26,12509,9984,0,2525
20,201501,TR,P'max,TC,255,722,60.559,332.54,7650,5015,0,2635
21,201501,TR,P'max,TC,267,722,517.361,386.73,10582,9496,0,1086
22,201501,TR,P'max,TC,279,722,31,358.93,25236,0,0,25236
23,201501,LN,S'max,TC,037,727,543.235,422.05,7023,6958,0,65
24,201501,TR,S'max,TC,037,727,45.974,0,18048,14149,0,3899
25,201501,TR,S'max,TC,039,727,117.706,271.15,9979,7121,0,2858
26,201501,TR,S'max,TC,233,727,187.119,365.76,12903,10521,0,2382
27,201501,LN,S'max,TC,282,727,290.166,380.68,8836,7812,0,1024
28,201501,LN,S'max,TC,283,727,20.897,394.48,7128,6207,0,921
29,201502,TR,Cape,OWNED,063,612,139.997,377.56,3691,0,0,3691
30,201502,TR,Cape,OWNED,064,612,560.003,440.55,26111,0,0,26111
31,201502,TR,Handy,OWNED,039,288,28,349.02,7539,0,0,7539
32,201502,TR,Handy,OWNED,165,288,56,560.93,33784,0,0,33784
33,201502,TR,P'max,OWNED,254,487,56,567.29,5888,0,0,5888
34,201502,TR,P'max,OWNED,255,487,140.73,461.65,6212,0,0,6212
35,201502,TR,S'max,OWNED,037,509,28,0,13200,0,0,13200
36,201502,TR,S'max,OWNED,170,509,139.998,384.42,21480,0,0,21480
37,201502,TR,S'max,OWNED,231,509,41.749,511.63,5337,0,0,5337
38,201502,TR,S'max,OWNED,233,509,28,0,15388,0,0,15388
39,201502,TR,S'max,OWNED,267,509,146.512,423.65,7450,0,0,7450
40,201502,LN,S'max,OWNED,282,509,28,448.76,6484,0,0,6484
41,201502,LN,Handy,TC,165,288,11.487,332.63,10511,12188,0,-1677
42,201502,LN,Handy,TC,231,288,56,0,7324,10252,0,-2928
43,201502,TR,Handy,TC,283,288,72.773,278.04,6037,7567,0,-1530
44,201502,TR,P'max,TC,231,487,412.234,377.88,12495,9085,0,3410
45,201502,TR,P'max,TC,254,487,164.943,378.5,11511,9948,0,1563
46,201502,TR,P'max,TC,255,487,18.67,365.37,6147,6362,0,-215
